"name","price_range","stars","neighborhood","business_id","hours","is_open","address","review_count","longitude","latitude","postal_code"
"St Lawrence Pizza & Ice Cream","1","4","St. Lawrence","YcU8pVXAFxybe8aiOBQOcw","""['Tuesday 8:0-18:0', 'Wednesday 8:0-18:0', 'Thursday 8:0-18:0', 'Friday 6:0-17:0', 'Saturday 6:0-17:0']""","1","93 Front Street E","10","-79.3717741","43.6490516","M5E 1C3"
"Corrado's","1","4.5","Entertainment District","Grr2wJ3nYD_7qUyespDglA","""['Monday 11:0-21:0', 'Tuesday 11:0-21:0', 'Wednesday 11:0-21:0', 'Thursday 11:0-21:0', 'Friday 11:0-4:0', 'Saturday 12:0-4:0', 'Sunday 12:0-21:0']""","1","118 John Street","170","-79.39063707","43.64829396","M5V 2E2"
"Piazza Monte","1","3","Scarborough","sCpa9e3HOSPuOlZUIVTWKQ","""['Monday 11:0-19:0', 'Tuesday 11:0-19:0', 'Wednesday 11:0-20:0', 'Thursday 11:0-20:0', 'Friday 11:0-20:0', 'Saturday 11:0-20:0']""","0","297 Port Union Road","5","-79.1407734","43.7894519","M1C 2L3"
"Domino's Pizza","1","3","Etobicoke","H9Ht6OgTMl3PZoX60OzCew","""['Monday 11:0-0:0', 'Tuesday 11:0-0:0', 'Wednesday 11:0-0:0', 'Thursday 11:0-0:0', 'Friday 11:0-1:0', 'Saturday 11:0-1:0', 'Sunday 11:0-0:0']""","1","2811 Lake Shore Boulevard W","9","-79.5008951","43.601733","M8V 1H6"
"Baretto Caffe","1","5","","g6AFW-zY0wDvBl9U82g4zg","""['Monday 7:30-18:0', 'Tuesday 7:30-18:0', 'Wednesday 7:30-18:0', 'Thursday 7:30-18:0', 'Friday 7:30-18:0', 'Saturday 8:30-17:0']""","1","1262 Don Mills Road","103","-79.3465271","43.7447684","M3B 2W7"
"Fresca Pizza & Pasta","1","4","","9LE2yGl23qxitNc9mkpbjA","""['Monday 11:0-0:0', 'Tuesday 11:0-0:0', 'Wednesday 11:0-0:0', 'Thursday 11:0-1:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 13:0-23:0']""","1","302 College Street","63","-79.4017791","43.6576697","M5T 3M1"
"Pizza Hut","1","2.5","Bloor-West Village","6tFbsJuIarw6vawDOZ9GkA","""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-1:0', 'Saturday 11:0-1:0', 'Sunday 12:0-23:0']""","1","2100 Bloor Street W","9","-79.4708935","43.6526178","M6S 4Y7"
"Pizza Pizza","1","1.5","Scarborough","E4wuEcTEmuq7kvgSbTDLFQ","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-3:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 11:0-2:0']""","1","""2900 Warden Avenue, Unit 205 207""","6","-79.3184634","43.7983618","M1W 2S8"
"Pizza Pizza","1","3","Ryerson","obrbOqA5Pxita02b0rcGrg","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-3:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 11:0-2:0']""","1","346 Yonge Street","5","-79.3817333","43.6577514","M5B 1R8"
"Danforth Sandwich","1","4.5","The Danforth","Ct5bB61mRmHUdXhqL3rm0A","""['Monday 9:0-19:0', 'Tuesday 9:0-19:0', 'Wednesday 9:0-21:0', 'Thursday 9:0-21:0', 'Friday 9:0-23:0', 'Saturday 9:0-23:0']""","1","2116 Danforth Avenue","5","-79.3118115","43.6859002","M4C 1K1"
"Pizza Pizza","1","2.5","Leslieville","XXXb0ANM2vU37VnAAZvlVQ","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-3:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 11:0-2:0']""","1","1252 Gerrard Street E","3","-79.32825208","43.67099523","M4L 1Y6"
"Calabria","1","2","","n_a-dQ0mzMxTvP7V8vvTWw","","0","2450 Sheppard Avenue E","4","-79.3240075","43.7750813","M2J 1X1"
"Uno Mustachio","1","3.5","St. Lawrence","RHcfJ-l69RbBE4viU0-jwQ","","1","""St. Lawrence Market, 93 Front St E, Lower Level B34""","63","-79.3712387","43.6488408","M5E 1C2"
"Espresso Bakery & Deli","1","4","Etobicoke","r_A7uy6FUXxDDD0g7wXMSg","""['Monday 9:0-19:0', 'Tuesday 9:0-19:0', 'Wednesday 9:0-19:0', 'Thursday 9:0-19:0', 'Friday 9:0-19:0', 'Saturday 10:0-17:0', 'Sunday 10:0-17:0']""","1","4980 Dundas Street W","5","-79.5304708","43.647337","M9A 1B7"
"San Francesco Foods - Clinton","1","4","Little Italy","NOKaVqvi4hI8RgGjFCFIAg","""['Monday 9:0-21:0', 'Tuesday 9:0-21:0', 'Wednesday 9:0-21:0', 'Thursday 9:0-22:0', 'Friday 9:0-23:0', 'Saturday 9:0-23:0', 'Sunday 9:0-22:0']""","1","10 Clinton Street","42","-79.4133199","43.6537655","M6J 2N8"
"Pizza Pizza","1","2.5","Dufferin Grove","EDqCEAGXVGCH4FJXgqtjqg","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-3:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 11:0-2:0']""","1","979 Bloor Street W","7","-79.429089","43.661054","M6H 1L5"
"Pizza Pizza","1","2.5","Church-Wellesley Village","D9LMDxJTbMIP5drSgWp1SQ","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-3:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 11:0-2:0']""","1","471 Yonge Street","13","-79.3830445","43.6618689","M4Y 1A1"
"The Big Slice","1","3","Ryerson","SHtvOqudT3zlOdCnZjrXzQ","""['Monday 9:0-5:0', 'Tuesday 9:0-5:0', 'Wednesday 9:0-5:0', 'Thursday 9:0-5:0', 'Friday 9:0-5:0', 'Saturday 9:0-5:0', 'Sunday 9:0-5:0']""","0","385 Yonge Street","78","-79.3818484","43.6588619","M5B 1S1"
"Mustachio Italian Eatery","1","4.5","Downtown Core","WzleXDgNBtwNo80gn7CgEg","""['Monday 10:30-18:30', 'Tuesday 10:30-18:30', 'Wednesday 10:30-18:30', 'Thursday 10:30-18:30', 'Friday 10:30-18:30', 'Saturday 11:0-16:0']""","1","595 Bay St.","4","-79.3830938","43.6561838","M5G 1M6"
"Calabrese Pizza","1","3.5","Etobicoke","wY8EmrjhokXEgSeCOJwoqQ","""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-0:0', 'Friday 11:0-1:0', 'Saturday 11:0-1:0', 'Sunday 14:0-22:0']""","1","3019 Lake Shore Boulevard W","18","-79.50851966","43.60003831","M8V 1K2"
"Pizza Pizza","1","2","Queen Street West","Idk-QTyUZq9w0ALh5cyvrw","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-3:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 11:0-2:0']""","1","228 Queen Street W","8","-79.3900762","43.6503226","M5V 1Z6"
"Diverso by Ferraro","2","4","","BesWd1a_bPC9-dH0biQJpw","""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-23:0', 'Saturday 11:30-23:0']""","0","328 Dupont Street","12","-79.4089837","43.6745536","M5R"
"Lil Baci Taverna","2","3.5","Mount Pleasant and Davisville","yrZrnWdBR4pE21vcgv8KHw","""['Monday 11:30-23:0', 'Tuesday 11:30-23:0', 'Wednesday 11:30-23:0', 'Thursday 11:30-23:0', 'Friday 11:30-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-23:0']""","1","2013 Yonge Street","74","-79.3971491","43.7011076","M4S 1Z9"
"Tommaso's Trattoria","2","4","Riverdale","x4mhAhgIVUd205iXMoyzCQ","","1","400 Eastern Ave","40","-79.3450015","43.6572764","M4M 1B9"
"Teatro Restaurant","2","2.5","Little Italy","Mr-r_r8qCnr9LMnazT0rhA","""['Tuesday 18:0-2:0', 'Wednesday 18:0-2:0', 'Thursday 18:0-2:0', 'Friday 18:0-2:0', 'Saturday 18:0-2:0']""","0","505 College Street","9","-79.4100924","43.6559783","M6G 1A5"
"The Mad Italian Gelato Bar","2","3.5","Mount Pleasant and Davisville","ZUkUaGAbswsvFri2EfHFMQ","""['Monday 9:0-23:0', 'Tuesday 9:0-23:0', 'Wednesday 9:0-23:0', 'Thursday 9:0-0:0', 'Friday 9:0-0:0', 'Saturday 9:0-0:0', 'Sunday 9:0-23:0']""","0","1581 Bayview Avenue","18","-79.3750554","43.7059907","M4G 3B7"
"Baldini Restaurant","2","3.5","Leslieville","wQMw6kc24uUQqqUGxe3Ztg","""['Monday 11:30-15:0', 'Monday 17:0-22:0', 'Tuesday 11:30-15:0', 'Tuesday 17:0-22:0', 'Wednesday 11:30-15:0', 'Wednesday 17:0-22:0', 'Thursday 11:30-15:0', 'Thursday 17:0-22:0', 'Friday 11:30-15:0', 'Friday 17:0-22:30', 'Saturday 17:0-22:30', 'Sunday 17:0-22:0']""","1","1012 Queen Street E","41","-79.339032","43.661413","M4M 1K1"
"Bello Bio","2","4.5","Mount Pleasant and Davisville","Avh4vPVXkYPcHEbRs1ZdBQ","""['Tuesday 11:30-21:0', 'Wednesday 11:30-21:0', 'Thursday 11:30-21:0', 'Friday 11:30-22:30', 'Saturday 11:30-22:30', 'Sunday 11:30-22:30']""","0","511 Mount Pleasant","10","-79.387492","43.7017624","M4S 2M4"
"Church Bistro","2","2.5","Church-Wellesley Village","uynbRIP4g85lp87xBJUaTg","""['Monday 9:0-22:0', 'Tuesday 9:0-15:0', 'Wednesday 9:0-22:0', 'Thursday 9:0-22:0', 'Friday 9:0-22:0', 'Saturday 9:0-22:0', 'Sunday 9:0-17:0']""","1","555 Church Street","16","-79.3815104","43.667157","M4Y 2E2"
"Mirto Italian Restaurant & Bar","2","3","Downtown Core","tgZU8QAowa7V4Af6DV9UUg","""['Monday 11:30-23:0', 'Tuesday 11:30-23:0', 'Wednesday 11:30-23:0', 'Thursday 11:30-23:0', 'Friday 11:30-23:0', 'Saturday 17:0-23:0']""","1","25 Toronto St","25","-79.3760778","43.650703","M5C 2R1"
"Porteree","2","3","Little Italy","YhZNYAnifMOmIddWh2YwcQ","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-2:0', 'Friday 11:0-2:0', 'Saturday 11:0-2:0', 'Sunday 11:0-2:0']""","0","583 College Street","3","-79.4132866","43.6552566","M6G 1B2"
"San Francesco Foods - Queen","2","3.5","Alexandra Park","MWe2RCV1PuH1qoMAELAqxA","""['Monday 10:30-22:0', 'Tuesday 10:30-22:0', 'Wednesday 10:30-22:0', 'Thursday 10:30-23:0', 'Friday 10:30-0:0', 'Saturday 10:30-0:0', 'Sunday 11:0-21:0']""","1","609 Queen Street W","28","-79.4024223","43.6474976","M5V 2B7"
"Corrado's Authentic Italian Cuisine","2","4","East York","Vl7knG5rR45zT97JdkCmMQ","""['Monday 11:0-20:0', 'Tuesday 11:0-20:0', 'Wednesday 11:0-20:0', 'Thursday 11:0-20:0', 'Friday 11:0-20:0', 'Saturday 16:0-21:0']""","0","471 Cosburn Avenue","5","-79.3339954","43.6928272","M4J 2N5"
"Vannis Restaurant","2","3","","KEyjG-6G4Dbo3p1Wmnxs4Q","""['Monday 15:0-22:0', 'Tuesday 15:0-22:0', 'Wednesday 15:0-22:0', 'Thursday 15:0-22:0', 'Friday 15:0-23:0', 'Saturday 10:0-23:0', 'Sunday 10:0-22:0']""","1","672b St Clair Avenue W","33","-79.4255315","43.6819924","M6C 1B1"
"Trattoria Taverniti","2","4","Little Italy","bo4loBeLwkQqZ7HGrgxXRQ","""['Monday 17:0-22:0', 'Tuesday 17:0-22:0', 'Wednesday 17:0-22:0', 'Thursday 12:0-22:0', 'Friday 12:0-23:0', 'Saturday 12:0-23:0', 'Sunday 17:0-22:0']""","1","591 College Street","60","-79.4136209","43.6552592","M6G 1B2"
"Rush Hour","2","4.5","","86W-L1l70wL-7n0lSfoY-Q","""['Tuesday 17:30-22:0', 'Wednesday 17:30-22:0', 'Thursday 17:30-22:0', 'Friday 17:30-22:0', 'Saturday 17:30-22:0', 'Sunday 12:0-22:0']""","1","1438A Dufferin Street","36","-79.4403221","43.6711707","M6H 3L1"
"Invictus","2","1.5","Corso Italia","3MmNFU-6po5M4hKRnQZusw","""['Tuesday 15:0-0:0', 'Wednesday 15:0-0:0', 'Thursday 15:0-0:0', 'Friday 15:0-0:0', 'Saturday 15:0-0:0', 'Sunday 15:0-0:0']""","0","1331 St Clair Avenue W","5","-79.44945921","43.67628259","M6E 1C2"
"Via Mercanti Food Shop","2","3","Kensington Market","DvXpWBz5_-hZQuvu-RnSwQ","""['Monday 10:0-20:0', 'Tuesday 22:0-23:0', 'Wednesday 10:0-20:0', 'Thursday 10:0-20:0', 'Friday 10:0-21:0', 'Saturday 10:0-21:0', 'Sunday 10:0-20:0']""","1","209 Augusta Avenue","3","-79.4014786","43.6540622","M5T 2L4"
"Vivoli","2","3.5","Little Italy","yBGqf8l9NOM3vZFnlxcgzQ","""['Monday 11:30-2:0', 'Tuesday 11:30-2:0', 'Wednesday 11:30-2:0', 'Thursday 11:30-2:0', 'Friday 11:30-2:0', 'Saturday 11:30-2:0', 'Sunday 11:30-2:0']""","1","665 College St","57","-79.4166798","43.6550863","M6G 1B7"
"Mangiacake Ristorante & Catering","2","3.5","Downtown Core","5D2lHX9z-psWbH5Dm0aZxQ","""['Monday 9:0-17:0', 'Tuesday 9:0-17:0', 'Wednesday 9:0-17:0', 'Thursday 9:0-17:0', 'Friday 9:0-17:0', 'Saturday 11:0-17:0']""","0","160 McCaul Street","9","-79.3921693","43.655572","M5T 1W4"
"Simpatico Cibo e Vino","2","4.5","Yonge and Eglinton","NKoI09Z35Gwn5gdfi5HWNg","""['Monday 16:15-22:0', 'Tuesday 16:15-22:0', 'Wednesday 16:15-22:0', 'Thursday 16:15-22:0', 'Friday 16:15-22:30', 'Saturday 16:15-22:30', 'Sunday 16:15-22:0']""","1","187 Heighbourne Road","5","-79.4071813","43.7044198","M5P 2J8"
"Gerrard Spaghetti & Pizza House","2","3","The Danforth","scDoMngWB0k37qgb7Ec-tQ","""['Monday 12:0-21:0', 'Tuesday 12:0-21:0', 'Wednesday 12:0-21:0', 'Thursday 12:0-21:0', 'Friday 12:0-22:0', 'Saturday 13:0-22:0']""","1","1528 Danforth Avenue","16","-79.3248004","43.6833225","M4J 1N4"
"The Dylan Bar","2","3","The Danforth","ydj6cSmcOM_jVYJLkHzdOA","""['Tuesday 17:0-0:0', 'Wednesday 17:0-0:0', 'Thursday 17:0-0:0', 'Friday 17:0-2:0', 'Saturday 17:0-2:0', 'Sunday 14:0-22:0']""","1","1276 Danforth Avenue","8","-79.33051672","43.68202801","M4J 1M6"
"Pizza Hut","2","3","Mount Pleasant and Davisville","nQFlHK1UxglOjhblGSgeaw","""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-0:0', 'Saturday 11:0-0:0', 'Sunday 12:0-23:0']""","1","1386 Av Bayview","6","-79.3734904","43.7006501","M4G 3A1"
"Pizza Pizza","2","2.5","","zsgvTFimYf4stONAJOyePw","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-3:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 11:0-2:0']""","1","536 Saint Clair Avenue W","6","-79.4199253","43.6831351","M6C 1A4"
"Pizza Pizza","2","2.5","Bloordale Village","a9usBo16KZ-gxOJXdryNlQ","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-3:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 11:0-2:0']""","1","1193 Bloor Street W","8","-79.4393633","43.6589038","M6H 1N4"
"Bar Freddo Caffe","2","4.5","Etobicoke","40AZvMTzJ6jmjw9-H2H6hw","""['Monday 10:0-21:0', 'Tuesday 10:0-21:0', 'Wednesday 10:0-21:0', 'Thursday 10:0-21:0', 'Friday 10:0-21:0', 'Saturday 9:30-21:0', 'Sunday 11:0-18:0']""","1","""Sherway Gardens, 25 The W Mall""","6","-79.55765437","43.61278118","M9C 1B8"
"Capocaccia Trattoria","2","3.5","Yonge and St. Clair","KtSEqZbGV1WHgOgtSMEZFQ","""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:30', 'Thursday 11:0-23:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-22:0']""","1","1366 Yonge Street","37","-79.393189","43.6858784","M4T 3A7"
"Vecchio Frak","2","3.5","Bickford Park","gzOjboYojl0RfUDiETdGXA","","0","690 College Street","8","-79.4177747","43.6554188","M6G 1C1"
"Trattoria Bacio","2","3.5","Yorkville","IwMhD-JhfhEY_nk963h7Vw","""['Tuesday 8:0-17:0', 'Wednesday 8:0-17:0', 'Thursday 8:0-18:0', 'Friday 8:0-18:0', 'Saturday 8:0-18:0', 'Sunday 10:0-17:0']""","1","95 Cumberland Street","11","-79.3906913","43.6703318","M5R 2A7"
"Sud Forno","2","4","West Queen West","KcIalceIg6PSPONvLlI4-w","""['Monday 8:0-22:0', 'Tuesday 8:0-22:0', 'Wednesday 8:0-22:0', 'Thursday 8:0-22:0', 'Friday 8:0-22:0', 'Saturday 8:0-22:0', 'Sunday 8:0-22:0']""","1","716 Queen Street W","90","-79.40900372","43.646303","M6J 1E9"
"Tosto Quickfire Pizza Pasta","2","3.5","Discovery District","n9BrA1zIwlbiP1hLAc24jg","""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-22:0']""","1","""800 Bay Street, Unit 101""","49","-79.3864087","43.661136","M5S 3A9"
"Sfizio Pizzeria & Wine Bar","2","4","","gju80t2hbwvCx6-JExZF3g","""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-22:0', 'Saturday 14:0-23:0', 'Sunday 11:0-22:0']""","1","401 Bloor Street E","35","-79.3774052","43.6721292","M4W 1H7"
"Magic Oven","2","3","The Junction","eQNApV0-OpYJec3y1OoBvg","""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-23:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-23:0']""","0","347 Keele Street","43","-79.4639484","43.6647484","M6P 2K6"
